election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,candidate_num,district,vote
pa.assembly.lancaster.1805,1805-10,1805,General,"Pennsylvania 1805 House of Representatives, Lancaster County",House of Representatives,ON064,William Ramsey,RW0160,Federalist,A01,1,NA,NA
pa.assembly.lancaster.1805,1805-10,1805,General,"Pennsylvania 1805 House of Representatives, Lancaster County",House of Representatives,ON064,John Roberts,RJ0303,Federalist,A01,2,NA,NA
pa.assembly.lancaster.1805,1805-10,1805,General,"Pennsylvania 1805 House of Representatives, Lancaster County",House of Representatives,ON064,Jacob Kimmel,KJ0204,Federalist,A01,3,NA,NA
pa.assembly.lancaster.1805,1805-10,1805,General,"Pennsylvania 1805 House of Representatives, Lancaster County",House of Representatives,ON064,Jacob Gish,GJ0390,Federalist,A01,4,NA,NA
pa.assembly.lancaster.1805,1805-10,1805,General,"Pennsylvania 1805 House of Representatives, Lancaster County",House of Representatives,ON064,William Webb,WW0218,Federalist,A01,5,NA,NA
pa.assembly.lancaster.1805,1805-10,1805,General,"Pennsylvania 1805 House of Representatives, Lancaster County",House of Representatives,ON064,Robert Jenkins,JR0043,Federalist,A01,6,NA,NA
pa.assembly.lancaster.1805,1805-10,1805,General,"Pennsylvania 1805 House of Representatives, Lancaster County",House of Representatives,ON064,Henry Ford,FH0029,Republican,A03,7,NA,NA
pa.assembly.lancaster.1805,1805-10,1805,General,"Pennsylvania 1805 House of Representatives, Lancaster County",House of Representatives,ON064,Henry Haines,HH0068,Republican,A03,8,NA,NA
pa.assembly.lancaster.1805,1805-10,1805,General,"Pennsylvania 1805 House of Representatives, Lancaster County",House of Representatives,ON064,Samuel Humes,HS0187,Republican,A03,9,NA,NA
pa.assembly.lancaster.1805,1805-10,1805,General,"Pennsylvania 1805 House of Representatives, Lancaster County",House of Representatives,ON064,Isaac Ferree,FI0020,Republican,A03,10,NA,NA
pa.assembly.lancaster.1805,1805-10,1805,General,"Pennsylvania 1805 House of Representatives, Lancaster County",House of Representatives,ON064,William Brisben,BW0295,Republican,A03,11,NA,NA
pa.assembly.lancaster.1805,1805-10,1805,General,"Pennsylvania 1805 House of Representatives, Lancaster County",House of Representatives,ON064,James Patterson,PJ0475,Republican,A03,12,NA,NA
