election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,candidate_num,overview_vote
ny.uscongress12.1824,1824,1824,General,"New York 1824 U.S. House of Representatives, District 12",U.S. House of Representatives,ON125,William Deitz,DW0091,Republican,A03,1,2810
ny.uscongress12.1824,1824,1824,General,"New York 1824 U.S. House of Representatives, District 12",U.S. House of Representatives,ON125,Constant Brown,BC0073,Clintonian/Federalist,A05,2,2129
ny.uscongress12.1824,1824,1824,General,"New York 1824 U.S. House of Representatives, District 12",U.S. House of Representatives,ON125,Henry Green,GH0053,Clintonian/Federalist,A05,3,54
ny.uscongress12.1824,1824,1824,General,"New York 1824 U.S. House of Representatives, District 12",U.S. House of Representatives,ON125,Abraham Keyser,KA0051,null,null,4,2
ny.uscongress12.1824,1824,1824,General,"New York 1824 U.S. House of Representatives, District 12",U.S. House of Representatives,ON125,Joseph Green,GJ0410,null,null,5,2
ny.uscongress12.1824,1824,1824,General,"New York 1824 U.S. House of Representatives, District 12",U.S. House of Representatives,ON125,Samuel W. Jones,JS0030,null,null,6,1
ny.uscongress12.1824,1824,1824,General,"New York 1824 U.S. House of Representatives, District 12",U.S. House of Representatives,ON125,James Frost,FJ0215,null,null,7,1
ny.uscongress12.1824,1824,1824,General,"New York 1824 U.S. House of Representatives, District 12",U.S. House of Representatives,ON125,Benjamin M. Mumford,MB0023,null,null,8,1
ny.uscongress12.1824,1824,1824,General,"New York 1824 U.S. House of Representatives, District 12",U.S. House of Representatives,ON125,Stephen Van Rensselaer,VS0033,Federalist,A01,9,1
ny.uscongress12.1824,1824,1824,General,"New York 1824 U.S. House of Representatives, District 12",U.S. House of Representatives,ON125,Alexander Humphrey,HA0145,null,null,10,1
ny.uscongress12.1824,1824,1824,General,"New York 1824 U.S. House of Representatives, District 12",U.S. House of Representatives,ON125,Isaac H. Tiffany,TI0025,null,null,11,1
ny.uscongress12.1824,1824,1824,General,"New York 1824 U.S. House of Representatives, District 12",U.S. House of Representatives,ON125,Jacob Gebhard,GJ0282,null,null,12,1
