election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,candidate_num,overview_vote
me.uscongress1.second.1823,1823-06,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 2",U.S. House of Representatives,ON125,William Burleigh,BW0280,Adams,A03,1,1007
me.uscongress1.second.1823,1823-06,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 2",U.S. House of Representatives,ON125,Isaac Lane,LI0013,Crawford,A03,2,810
me.uscongress1.second.1823,1823-06,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 2",U.S. House of Representatives,ON125,Rufus MacIntire,MR0008,Adams,A03,3,501
me.uscongress1.second.1823,1823-06,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 2",U.S. House of Representatives,ON125,John MacDonald,MJ0015,null,null,4,32
me.uscongress1.second.1823,1823-06,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 2",U.S. House of Representatives,ON125,Edward P. Hayman,HE0007,null,null,5,25
me.uscongress1.second.1823,1823-06,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 2",U.S. House of Representatives,ON125,Thomas G. Thornton,TT0009,null,null,6,10
me.uscongress1.second.1823,1823-06,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 2",U.S. House of Representatives,ON125,Benjamin Greene,GB0020,null,null,7,8
me.uscongress1.second.1823,1823-06,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 2",U.S. House of Representatives,ON125,Ether Shipley,SE0012,null,null,8,6
me.uscongress1.second.1823,1823-06,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 2",U.S. House of Representatives,ON125,Lane,null,null,null,9,3
me.uscongress1.second.1823,1823-06,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 2",U.S. House of Representatives,ON125,Samuel Fox,FS0079,null,null,10,2
me.uscongress1.second.1823,1823-06,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 2",U.S. House of Representatives,ON125,George W. Wallingford,WG0028,null,null,11,2
me.uscongress1.second.1823,1823-06,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 2",U.S. House of Representatives,ON125,"James Ayer, Jr.",AJ0048,null,null,12,1
me.uscongress1.second.1823,1823-06,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 2",U.S. House of Representatives,ON125,Henry B. C. Greene,GH0005,null,null,13,1
me.uscongress1.second.1823,1823-06,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 2",U.S. House of Representatives,ON125,"John Hall, Jr.",HJ0013,null,null,14,1
me.uscongress1.second.1823,1823-06,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 2",U.S. House of Representatives,ON125,Philip Hall,HP0096,null,null,15,1
me.uscongress1.second.1823,1823-06,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 2",U.S. House of Representatives,ON125,Lane Isaac,IL0004,null,null,16,1
me.uscongress1.second.1823,1823-06,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 2",U.S. House of Representatives,ON125,Isachar Kimbell,KI0007,null,null,17,1
me.uscongress1.second.1823,1823-06,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 2",U.S. House of Representatives,ON125,Thomas Sands,ST0014,null,null,18,1
me.uscongress1.second.1823,1823-06,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 2",U.S. House of Representatives,ON125,"Abner Sawyer, Jr.",SA0018,null,null,19,1
me.uscongress1.second.1823,1823-06,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 2",U.S. House of Representatives,ON125,Henry Woodman,WH0002,null,null,20,1
me.uscongress1.second.1823,1823-06,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 2",U.S. House of Representatives,ON125,scattering,null,null,null,21,6
