election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,candidate_num,district,vote
vt.uscongress.eastern.special.1797,1797-05,1797,Special,"Vermont 1797 U.S. House of Representatives, Eastern District, Special",U.S. House of Representatives,ON125,Lewis R. Morris,ML0045,Federalist,A01,1,Eastern,1033
vt.uscongress.eastern.special.1797,1797-05,1797,Special,"Vermont 1797 U.S. House of Representatives, Eastern District, Special",U.S. House of Representatives,ON125,Stephen Jacobs,JS0060,Federalist,A01,2,Eastern,246
vt.uscongress.eastern.special.1797,1797-05,1797,Special,"Vermont 1797 U.S. House of Representatives, Eastern District, Special",U.S. House of Representatives,ON125,Nathaniel Niles,NN0014,Republican,A03,3,Eastern,203
vt.uscongress.eastern.special.1797,1797-05,1797,Special,"Vermont 1797 U.S. House of Representatives, Eastern District, Special",U.S. House of Representatives,ON125,Amasa Paine,PA0117,Federalist,A01,4,Eastern,119
vt.uscongress.eastern.special.1797,1797-05,1797,Special,"Vermont 1797 U.S. House of Representatives, Eastern District, Special",U.S. House of Representatives,ON125,Lot Hall,HL0043,Federalist,A01,5,Eastern,67
vt.uscongress.eastern.special.1797,1797-05,1797,Special,"Vermont 1797 U.S. House of Representatives, Eastern District, Special",U.S. House of Representatives,ON125,Daniel Farrand,FD0052,Federalist,A01,6,Eastern,44
vt.uscongress.eastern.special.1797,1797-05,1797,Special,"Vermont 1797 U.S. House of Representatives, Eastern District, Special",U.S. House of Representatives,ON125,William Chamberlain,CW0352,Federalist,A01,7,Eastern,31
vt.uscongress.eastern.special.1797,1797-05,1797,Special,"Vermont 1797 U.S. House of Representatives, Eastern District, Special",U.S. House of Representatives,ON125,Paul Brigham,BP0101,Federalist,A01,8,Eastern,27
vt.uscongress.eastern.special.1797,1797-05,1797,Special,"Vermont 1797 U.S. House of Representatives, Eastern District, Special",U.S. House of Representatives,ON125,Cornelius Lynde,LC0073,Federalist,A01,9,Eastern,20
vt.uscongress.eastern.special.1797,1797-05,1797,Special,"Vermont 1797 U.S. House of Representatives, Eastern District, Special",U.S. House of Representatives,ON125,Stephen R. Bradley,BS0312,Republican,A03,10,Eastern,16
vt.uscongress.eastern.special.1797,1797-05,1797,Special,"Vermont 1797 U.S. House of Representatives, Eastern District, Special",U.S. House of Representatives,ON125,Samuel Cutler,CS0216,Federalist,A01,11,Eastern,3
vt.uscongress.eastern.special.1797,1797-05,1797,Special,"Vermont 1797 U.S. House of Representatives, Eastern District, Special",U.S. House of Representatives,ON125,William Bigelow,BW0417,Federalist,A01,12,Eastern,2
vt.uscongress.eastern.special.1797,1797-05,1797,Special,"Vermont 1797 U.S. House of Representatives, Eastern District, Special",U.S. House of Representatives,ON125,Jonathan Hunt,HJ1284,Federalist,A01,13,Eastern,1
vt.uscongress.eastern.special.1797,1797-05,1797,Special,"Vermont 1797 U.S. House of Representatives, Eastern District, Special",U.S. House of Representatives,ON125,John Leverett,LJ0544,Federalist,A01,14,Eastern,1
vt.uscongress.eastern.special.1797,1797-05,1797,Special,"Vermont 1797 U.S. House of Representatives, Eastern District, Special",U.S. House of Representatives,ON125,Charles Marsh,MC0079,Federalist,A01,15,Eastern,1
vt.uscongress.eastern.special.1797,1797-05,1797,Special,"Vermont 1797 U.S. House of Representatives, Eastern District, Special",U.S. House of Representatives,ON125,Elijah Robinson,RE0083,Federalist,A01,16,Eastern,1
