election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,candidate_num,overview_vote
ga.uscongress.1800,1800,1800,General,Georgia 1800 U.S. House of Representatives,U.S. House of Representatives,ON125,James Jones,JJ0010,null,null,1,8616
ga.uscongress.1800,1800,1800,General,Georgia 1800 U.S. House of Representatives,U.S. House of Representatives,ON125,Benjamin Taliaferro,TB0026,Federalist,A01,2,7568
ga.uscongress.1800,1800,1800,General,Georgia 1800 U.S. House of Representatives,U.S. House of Representatives,ON125,Francis Willis,WF0022,null,null,3,1791
ga.uscongress.1800,1800,1800,General,Georgia 1800 U.S. House of Representatives,U.S. House of Representatives,ON125,William Stevens,SW0409,null,null,4,29
ga.uscongress.1800,1800,1800,General,Georgia 1800 U.S. House of Representatives,U.S. House of Representatives,ON125,James Cochran,CJ0956,null,null,5,2
ga.uscongress.1800,1800,1800,General,Georgia 1800 U.S. House of Representatives,U.S. House of Representatives,ON125,James Gibson,GJ0370,null,null,6,2
ga.uscongress.1800,1800,1800,General,Georgia 1800 U.S. House of Representatives,U.S. House of Representatives,ON125,John Milledge,MJ0057,null,null,7,2
ga.uscongress.1800,1800,1800,General,Georgia 1800 U.S. House of Representatives,U.S. House of Representatives,ON125,Robert Abercrombie,AR0065,null,null,8,1
ga.uscongress.1800,1800,1800,General,Georgia 1800 U.S. House of Representatives,U.S. House of Representatives,ON125,Abraham Baldwin,BA0026,null,null,9,1
ga.uscongress.1800,1800,1800,General,Georgia 1800 U.S. House of Representatives,U.S. House of Representatives,ON125,Thomas P. Carnes,CT0042,null,null,10,1
ga.uscongress.1800,1800,1800,General,Georgia 1800 U.S. House of Representatives,U.S. House of Representatives,ON125,John London,LJ0021,null,null,11,1
ga.uscongress.1800,1800,1800,General,Georgia 1800 U.S. House of Representatives,U.S. House of Representatives,ON125,Daniel Ouensels,OD0013,null,null,12,1
ga.uscongress.1800,1800,1800,General,Georgia 1800 U.S. House of Representatives,U.S. House of Representatives,ON125,Joseph Plumer,PJ0625,null,null,13,1
ga.uscongress.1800,1800,1800,General,Georgia 1800 U.S. House of Representatives,U.S. House of Representatives,ON125,Jesse Scruggs,SJ0094,null,null,14,1
