election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,candidate_num,district,vote
nj.congress.1810,1810-10,1810,General,New Jersey 1810 U.S. House of Representatives,U.S. House of Representatives,ON125,Adam Boyd,BA0122,Republican,A03,1,NA,NA
nj.congress.1810,1810-10,1810,General,New Jersey 1810 U.S. House of Representatives,U.S. House of Representatives,ON125,Lewis Condict,CL0013,Republican,A03,2,NA,NA
nj.congress.1810,1810-10,1810,General,New Jersey 1810 U.S. House of Representatives,U.S. House of Representatives,ON125,George C. Maxwell,MG0041,Republican,A03,3,NA,NA
nj.congress.1810,1810-10,1810,General,New Jersey 1810 U.S. House of Representatives,U.S. House of Representatives,ON125,Jacob Hufty,HJ0423,Republican,A03,4,NA,NA
nj.congress.1810,1810-10,1810,General,New Jersey 1810 U.S. House of Representatives,U.S. House of Representatives,ON125,Thomas Newbold,NT0008,Republican,A03,5,NA,NA
nj.congress.1810,1810-10,1810,General,New Jersey 1810 U.S. House of Representatives,U.S. House of Representatives,ON125,James Morgan,MJ0401,Republican,A03,6,NA,NA
nj.congress.1810,1810-10,1810,General,New Jersey 1810 U.S. House of Representatives,U.S. House of Representatives,ON125,Aaron Ogden,OA0025,Federalist,A01,7,NA,NA
nj.congress.1810,1810-10,1810,General,New Jersey 1810 U.S. House of Representatives,U.S. House of Representatives,ON125,William Coxe,CW0104,Federalist,A01,8,NA,NA
nj.congress.1810,1810-10,1810,General,New Jersey 1810 U.S. House of Representatives,U.S. House of Representatives,ON125,John Neilson,NJ0051,Federalist,A01,9,NA,NA
nj.congress.1810,1810-10,1810,General,New Jersey 1810 U.S. House of Representatives,U.S. House of Representatives,ON125,Richard Stockton,SR0121,Federalist,A01,10,NA,NA
nj.congress.1810,1810-10,1810,General,New Jersey 1810 U.S. House of Representatives,U.S. House of Representatives,ON125,Thomas Sinnickson,ST0147,Federalist,A01,11,NA,NA
nj.congress.1810,1810-10,1810,General,New Jersey 1810 U.S. House of Representatives,U.S. House of Representatives,ON125,John Beatty,BJ0587,Federalist,A01,12,NA,NA
nj.congress.1810,1810-10,1810,General,New Jersey 1810 U.S. House of Representatives,U.S. House of Representatives,ON125,John Doughty,DJ0215,Federalist,A01,13,NA,NA
nj.congress.1810,1810-10,1810,General,New Jersey 1810 U.S. House of Representatives,U.S. House of Representatives,ON125,Jacob Thomson,TJ0271,null,null,15,NA,NA
nj.congress.1810,1810-10,1810,General,New Jersey 1810 U.S. House of Representatives,U.S. House of Representatives,ON125,James Parker,PJ0264,Federalist,A01,16,NA,NA
nj.congress.1810,1810-10,1810,General,New Jersey 1810 U.S. House of Representatives,U.S. House of Representatives,ON125,James Schureman,SJ0522,Federalist,A01,17,NA,NA
nj.congress.1810,1810-10,1810,General,New Jersey 1810 U.S. House of Representatives,U.S. House of Representatives,ON125,William Campfield,CW0137,null,null,18,NA,NA
nj.congress.1810,1810-10,1810,General,New Jersey 1810 U.S. House of Representatives,U.S. House of Representatives,ON125,John L. Howell,HJ1007,null,null,19,NA,NA
nj.congress.1810,1810-10,1810,General,New Jersey 1810 U.S. House of Representatives,U.S. House of Representatives,ON125,Ebenezer Elmer,EE0016,null,null,20,NA,NA
nj.congress.1810,1810-10,1810,General,New Jersey 1810 U.S. House of Representatives,U.S. House of Representatives,ON125,Samuel Bayard,BS0160,Federalist,A01,21,NA,NA
nj.congress.1810,1810-10,1810,General,New Jersey 1810 U.S. House of Representatives,U.S. House of Representatives,ON125,J. Sipison,SJ1188,null,null,22,NA,NA
nj.congress.1810,1810-10,1810,General,New Jersey 1810 U.S. House of Representatives,U.S. House of Representatives,ON125,John Simpson,SJ1173,null,null,23,NA,NA
nj.congress.1810,1810-10,1810,General,New Jersey 1810 U.S. House of Representatives,U.S. House of Representatives,ON125,James H. Imlay,IJ0057,Federalist,A01,24,NA,NA
nj.congress.1810,1810-10,1810,General,New Jersey 1810 U.S. House of Representatives,U.S. House of Representatives,ON125,D. Stuart,SD0218,null,null,25,NA,NA
nj.congress.1810,1810-10,1810,General,New Jersey 1810 U.S. House of Representatives,U.S. House of Representatives,ON125,J. A. Westervelt,WJ0872,null,null,26,NA,NA
nj.congress.1810,1810-10,1810,General,New Jersey 1810 U.S. House of Representatives,U.S. House of Representatives,ON125,John Linn,LJ0197,null,null,27,NA,NA
