election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,candidate_num,district,vote
nj.uscongress.1792,1792,1792,General,New Jersey 1792 U.S. House of Representatives,U.S. House of Representatives,ON125,John Beatty,BJ0587,Federalist,A01,1,NA,NA
nj.uscongress.1792,1792,1792,General,New Jersey 1792 U.S. House of Representatives,U.S. House of Representatives,ON125,Jonathan Dayton,DJ0209,Federalist,A01,2,NA,NA
nj.uscongress.1792,1792,1792,General,New Jersey 1792 U.S. House of Representatives,U.S. House of Representatives,ON125,Abraham Clark,CA0071,null,null,3,NA,NA
nj.uscongress.1792,1792,1792,General,New Jersey 1792 U.S. House of Representatives,U.S. House of Representatives,ON125,Elias Boudinot,BE0179,Federalist,A01,4,NA,NA
nj.uscongress.1792,1792,1792,General,New Jersey 1792 U.S. House of Representatives,U.S. House of Representatives,ON125,Lambert Cadwalader,CL0010,Federalist,A01,5,NA,NA
nj.uscongress.1792,1792,1792,General,New Jersey 1792 U.S. House of Representatives,U.S. House of Representatives,ON125,Thomas Sinnickson,ST0147,Federalist,A01,6,NA,NA
nj.uscongress.1792,1792,1792,General,New Jersey 1792 U.S. House of Representatives,U.S. House of Representatives,ON125,Aaron Kitchel,KA0023,null,null,7,NA,NA
nj.uscongress.1792,1792,1792,General,New Jersey 1792 U.S. House of Representatives,U.S. House of Representatives,ON125,James Linn,LJ0151,null,null,8,NA,NA
nj.uscongress.1792,1792,1792,General,New Jersey 1792 U.S. House of Representatives,U.S. House of Representatives,ON125,Jonathan Elmer,EJ0094,Federalist,A01,9,NA,NA
nj.uscongress.1792,1792,1792,General,New Jersey 1792 U.S. House of Representatives,U.S. House of Representatives,ON125,Samuel Dick,DS0108,null,null,10,NA,NA
nj.uscongress.1792,1792,1792,General,New Jersey 1792 U.S. House of Representatives,U.S. House of Representatives,ON125,Thomas Henderson,HT0100,Federalist,A01,11,NA,NA
nj.uscongress.1792,1792,1792,General,New Jersey 1792 U.S. House of Representatives,U.S. House of Representatives,ON125,Joseph Smith,SJ0524,null,null,12,NA,NA
nj.uscongress.1792,1792,1792,General,New Jersey 1792 U.S. House of Representatives,U.S. House of Representatives,ON125,John Chetwood,CJ0383,null,null,13,NA,NA
nj.uscongress.1792,1792,1792,General,New Jersey 1792 U.S. House of Representatives,U.S. House of Representatives,ON125,John Witherspoon,WJ0338,null,null,14,NA,NA
nj.uscongress.1792,1792,1792,General,New Jersey 1792 U.S. House of Representatives,U.S. House of Representatives,ON125,John Bayard,BJ0588,null,null,15,NA,NA
nj.uscongress.1792,1792,1792,General,New Jersey 1792 U.S. House of Representatives,U.S. House of Representatives,ON125,John Harring,HJ0385,null,null,16,NA,NA
nj.uscongress.1792,1792,1792,General,New Jersey 1792 U.S. House of Representatives,U.S. House of Representatives,ON125,James F. Armstrong,AJ0153,null,null,17,NA,NA
nj.uscongress.1792,1792,1792,General,New Jersey 1792 U.S. House of Representatives,U.S. House of Representatives,ON125,Elias Dayton,DE0029,null,null,18,NA,NA
nj.uscongress.1792,1792,1792,General,New Jersey 1792 U.S. House of Representatives,U.S. House of Representatives,ON125,Joseph Bloomfield,BJ0589,null,null,19,NA,NA
nj.uscongress.1792,1792,1792,General,New Jersey 1792 U.S. House of Representatives,U.S. House of Representatives,ON125,Frederick Frelinghuysen,FF0012,Federalist,A01,20,NA,NA
nj.uscongress.1792,1792,1792,General,New Jersey 1792 U.S. House of Representatives,U.S. House of Representatives,ON125,James Schureman,SJ0522,null,null,21,NA,NA
nj.uscongress.1792,1792,1792,General,New Jersey 1792 U.S. House of Representatives,U.S. House of Representatives,ON125,James Kinsey,KJ0079,null,null,22,NA,NA
nj.uscongress.1792,1792,1792,General,New Jersey 1792 U.S. House of Representatives,U.S. House of Representatives,ON125,Abraham Kitchell,KA0027,null,null,23,NA,NA
